Unnamed: 0,PID,Year,Title,Info.type,Source.in.paper,Task.variable.decoded,Accuracy.50,Accuracy.other,Num_classes,Significance,Roi.Search,Pattern.type,Classifier.type,Classifier.Fitted,Scanner,Resolution,Smoothing,Coregistration,Movement.Correction,Pattern.normalization.type,Num_subs,Num_trials,Num_class_types,Talairach.Coordinates,MNI.Coordinates,Coordinate.Space,ROI.Atlas,BA,AAL,Desikan,OxHarvard,Destrieux,Unkown Atlas,Method.of.Assigning.Region,Region.name,Voxel.numbers,Training.setsize,Accuracy.50.Median,Notes,More.Notes,Accuracy.50.original,Region.AAL.1
10,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Rule,Text,which rule used to map stimulus to response,0.543,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,931.0,2.0,,"-35,19,3;35,19,3",MNI,,,,,,,,coordinate transfer,bi AI/FO,111,36,,,,0.543,Insula_L;Insula_R
11,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Rule,Text,which rule used to map stimulus to response,0.593,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,931.0,2.0,,"-38,26,24",MNI,,,,,,,,coordinate transfer,left IFS_,315,36,,,,0.593,Frontal_Inf_Tri_L
12,2,2012,Neural correlates of object-based attentional selection in human cortex,Rule,Figure 4,Which object the participant attending to during cue and stimulus,0.55,,2,0,ROI,Single Trial Multi-Time Point,LDA,0,3T,3mmx3mmx4mm,unsmooth,Native Space,Movement Correction,None,6,100.0,2.0,,,,unkown,,,,,,Insula,name similarity,Insula,135,98,,leave one pattern out,,0.55,Insula_R; Insula_L
13,2,2012,Neural correlates of object-based attentional selection in human cortex,Rule,Figure 4,Which object the participant attending to during cue and stimulus,0.58,,2,0,ROI,Single Trial Multi-Time Point,LDA,0,3T,3mmx3mmx4mm,unsmooth,Native Space,Movement Correction,None,6,100.0,2.0,,,,unkown,,,,,,mSFG,name similarity,mSFG,125,98,,,,0.58, Frontal_Sup_Medial_R;Frontal_Sup_Medial_L
14,2,2012,Neural correlates of object-based attentional selection in human cortex,Rule,Figure 4,Which object the participant attending to during cue and stimulus,0.6,,2,0,ROI,Single Trial Multi-Time Point,LDA,0,3T,3mmx3mmx4mm,unsmooth,Native Space,Movement Correction,None,6,100.0,2.0,,,,unkown,,,,,,MFG,name similarity,MFG,140,98,,,,0.6, Frontal_Mid_R;Frontal_Mid_L
15,2,2012,Neural correlates of object-based attentional selection in human cortex,Rule,Figure 4,Which object the participant attending to during cue and stimulus,0.64,,2,1,ROI,Single Trial Multi-Time Point,LDA,0,3T,3mmx3mmx4mm,unsmooth,Native Space,Movement Correction,None,6,100.0,2.0,,,,unkown,,,,,,FEF,name similarity,FEF,140,98,,,,0.64, Precentral_L;Precentral_R
16,5,2013,Frontal and Parietal Cortical Interactions with Distributed Visual Representations during Selective Attention and Action Selection,Response,Figure 10,if made a match vs non match decision,0.52,,2,1,ROI,Single Trial Multi-Time Point,LogReg,0,3T,3mmx3mmx3mm,unsmooth,coregistered,Movement Correction,Normalized Temporally,10,,,,"-6,8,55;9,8,49",MNI,,,,,,,,coordinate transfer,"pre-SMA,PMD,LPFC, IFJ",904,142,,leave one trial out,,0.52,Supp_Motor_Area_L;Supp_Motor_Area_R
17,5,2013,Frontal and Parietal Cortical Interactions with Distributed Visual Representations during Selective Attention and Action Selection,Rule,Figure 10,if instructed to selectively attend or non selectively attend,0.53,,2,1,ROI,Single Trial Multi-Time Point,LogReg,0,3T,3mmx3mmx3mm,unsmooth,coregistered,Movement Correction,Normalized Temporally,10,144.0,2.0,,"-6,8,55;9,8,49;-39,-4,49;48,-1,46;-39,35,31;36,26,40;-45,8,37;51,2,43",MNI,,,,,,,,coordinate transfer,"pre-SMA,PMD,LPFC, IFJ",904,142,,,,0.53,Supp_Motor_Area_L;Supp_Motor_Area_R;Precentral_L;Precentral_R;Frontal_Mid_L;Frontal_Mid_R;Precentral_L;Precentral_R
18,6,2009,Decoding sequential stages of task preparation in the human brain,Perceptual,Figure 2,Stimulus,0.56,,2,1,Searchlight Peak,Multi-Trial Single-Time Point,svm-lin,0,3T,3mmx3mmx2mm,unsmooth,Native Space,Movement Correction,None,14,,,,"-51,33,-12",MNI,,,,,,,,coordinate transfer,anterior left VLPFC,268,6,,leave one trial out,,0.56,Frontal_Inf_Orb_L
19,6,2009,Decoding sequential stages of task preparation in the human brain,Response,Figure 2,Motor Response,0.65,,2,1,Searchlight Peak,Multi-Trial Single-Time Point,svm-lin,0,3T,3mmx3mmx2mm,unsmooth,Native Space,Movement Correction,None,14,,,,"-18,6,66",MNI,,,,,,,,coordinate transfer,SMA,268,6,,,,0.65,Frontal_Sup_L
20,6,2009,Decoding sequential stages of task preparation in the human brain,Rule,Figure 2,Task Rule,0.56,,2,1,Searchlight Peak,Multi-Trial Single-Time Point,svm-lin,0,3T,3mmx3mmx2mm,unsmooth,Native Space,Movement Correction,None,14,64.0,2.0,,"-48,12,21",MNI,,,,,,,,coordinate transfer,posterior VLPFC,268,6,,,,0.56,Frontal_Inf_Oper_L
21,6,2009,Decoding sequential stages of task preparation in the human brain,Rule,Figure 2,Task Rule,0.58,,2,1,Searchlight Peak,Multi-Trial Single-Time Point,svm-lin,0,3T,3mmx3mmx2mm,unsmooth,Native Space,Movement Correction,None,14,64.0,2.0,,"-51,33,2",MNI,,,,,,,,coordinate transfer,anterior left VLPFC,268,6,,,,0.58,Frontal_Inf_Tri_L
22,7,2011,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 3,Semantic Rule GREEN vs. LOUD,0.438,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC R,,,,atlas comparison,LPFC R,954,114,,leave three blocks out (harder to determine pattern numbers),,0.438, Frontal_Inf_Tri_R;Frontal_Mid_R; Frontal_Inf_Oper_R
23,7,2011,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 3,Semantic Rule GREEN vs. LOUD,0.461,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC L,,,,atlas comparison,LPFC L,956,114,,,,0.461, Frontal_Inf_Oper_L;Frontal_Mid_L; Frontal_Inf_Tri_L
24,7,2011,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 3,Semantic Rule GREEN vs. SWEET,0.471,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC R,,,,atlas comparison,LPFC R,954,114,,,,0.471, Frontal_Inf_Tri_R;Frontal_Mid_R; Frontal_Inf_Oper_R
25,7,2011,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 3,Semantic Rule LOUD vs. SWEET,0.472,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC R,,,,atlas comparison,LPFC R,954,114,,,,0.472, Frontal_Inf_Tri_R;Frontal_Mid_R; Frontal_Inf_Oper_R
26,7,2011,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 2,Response L INDEX vs. R INDEX,0.486,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC R,,,,atlas comparison,LPFC R,954,114,,,,0.486, Frontal_Inf_Tri_R;Frontal_Mid_R; Frontal_Inf_Oper_R
27,7,2011,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 4,Decision Rule Just One vs Second,0.5,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC L,,,,atlas comparison,Left LPFC,956,114,,,,0.5, Frontal_Inf_Oper_L;Frontal_Mid_L; Frontal_Inf_Tri_L
28,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 2,Response R INDEX vs. L MID,0.501,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC L,,,,atlas comparison,LPFC L,956,114,,,,0.501, Frontal_Inf_Oper_L;Frontal_Mid_L; Frontal_Inf_Tri_L
29,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 2,Response L INDEX vs. R INDEX,0.504,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC L,,,,atlas comparison,LPFC L,956,114,,,,0.504, Frontal_Inf_Oper_L;Frontal_Mid_L; Frontal_Inf_Tri_L
30,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 2,Response L MID vs. R MID,0.504,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC L,,,,atlas comparison,LPFC L,956,114,,,,0.504, Frontal_Inf_Oper_L;Frontal_Mid_L; Frontal_Inf_Tri_L
31,7,2011,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 2,Response R INDEX vs. L MID,0.509,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC R,,,,atlas comparison,LPFC R,954,114,,,,0.509, Frontal_Inf_Tri_R;Frontal_Mid_R; Frontal_Inf_Oper_R
32,7,2011,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 3,Semantic Rule GREEN vs. SOFT,0.51,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC R,,,,atlas comparison,LPFC R,954,114,,,,0.51, Frontal_Inf_Tri_R;Frontal_Mid_R; Frontal_Inf_Oper_R
33,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 2,Response R INDEX vs. R MID,0.514,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC L,,,,atlas comparison,LPFC L,956,114,,,,0.514, Frontal_Inf_Oper_L;Frontal_Mid_L; Frontal_Inf_Tri_L
34,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 3,Semantic Rule GREEN vs. SWEET,0.516,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC L,,,,atlas comparison,LPFC L,956,114,,,,0.516, Frontal_Inf_Oper_L;Frontal_Mid_L; Frontal_Inf_Tri_L
35,7,2011,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 2,Response L MID vs. R MID,0.516,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC R,,,,atlas comparison,LPFC R,954,114,,,,0.516, Frontal_Inf_Tri_R;Frontal_Mid_R; Frontal_Inf_Oper_R
36,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 4,Decision Rule Same vs.Just one,0.52,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,Bi-lateral LPFC,,,,atlas comparison,Bi-lateral LPFC,1909,114,,,,0.52, Frontal_Mid_R; Frontal_Inf_Tri_L; Frontal_Inf_Oper_L; Frontal_Inf_Oper_R; Frontal_Inf_Tri_R;Frontal_Mid_L
37,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 4,Decision Rule Second vs Not Second,0.52,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC L,,,,atlas comparison,Left LPFC,956,114,,,,0.52, Frontal_Inf_Oper_L;Frontal_Mid_L; Frontal_Inf_Tri_L
38,7,2011,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 2,Response R INDEX vs. R MID,0.52,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC R,,,,atlas comparison,LPFC R,954,114,,,,0.52, Frontal_Inf_Tri_R;Frontal_Mid_R; Frontal_Inf_Oper_R
39,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 3,Semantic Rule LOUD vs. SWEET,0.521,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC L,,,,atlas comparison,LPFC L,956,114,,,,0.521, Frontal_Inf_Oper_L;Frontal_Mid_L; Frontal_Inf_Tri_L
40,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 4,Decision Rule Same vs Second,0.53,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,Bi-lateral LPFC,,,,atlas comparison,Bi-lateral LPFC,1909,228,,,,0.53, Frontal_Mid_R; Frontal_Inf_Tri_L; Frontal_Inf_Oper_L; Frontal_Inf_Oper_R; Frontal_Inf_Tri_R;Frontal_Mid_L
41,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 3,Semantic Rule SOFT vs. SWEET,0.531,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC L,,,,atlas comparison,LPFC L,956,114,,,,0.531, Frontal_Inf_Oper_L;Frontal_Mid_L; Frontal_Inf_Tri_L
42,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 2,Response L INDEX vs. R MID,0.537,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC L,,,,atlas comparison,LPFC L,956,114,,,,0.537, Frontal_Inf_Oper_L;Frontal_Mid_L; Frontal_Inf_Tri_L
43,7,2011,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 2,Response L INDEX vs. L MID,0.539,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC R,,,,atlas comparison,LPFC R,954,114,,,,0.539, Frontal_Inf_Tri_R;Frontal_Mid_R; Frontal_Inf_Oper_R
44,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 4,Decision Rule Same vs.Just one,0.54,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,Bi-lateral LPFC,,,,atlas comparison,Bi-lateral LPFC,1909,228,,,,0.54, Frontal_Mid_R; Frontal_Inf_Tri_L; Frontal_Inf_Oper_L; Frontal_Inf_Oper_R; Frontal_Inf_Tri_R;Frontal_Mid_L
45,7,2011,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 3,Semantic Rule SOFT vs. SWEET,0.547,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC R,,,,atlas comparison,LPFC R,954,114,,,,0.547, Frontal_Inf_Tri_R;Frontal_Mid_R; Frontal_Inf_Oper_R
46,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 2,Response L INDEX vs. L MID,0.548,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC L,,,,atlas comparison,LPFC L,956,114,,,,0.548, Frontal_Inf_Oper_L;Frontal_Mid_L; Frontal_Inf_Tri_L
47,7,2011,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 2,Response L INDEX vs. R MID,0.55,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC R,,,,atlas comparison,LPFC R,954,114,,,,0.55, Frontal_Inf_Tri_R;Frontal_Mid_R; Frontal_Inf_Oper_R
48,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 4,Decision Rule Just One vs Not Second,0.55,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,Bi-lateral LPFC,,,,atlas comparison,Bi-lateral LPFC,1909,228,,,,0.55, Frontal_Mid_R; Frontal_Inf_Tri_L; Frontal_Inf_Oper_L; Frontal_Inf_Oper_R; Frontal_Inf_Tri_R;Frontal_Mid_L
49,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 4,Decision Rule Same vs Second,0.55,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC L,,,,atlas comparison,Left LPFC,956,114,,,,0.55, Frontal_Inf_Oper_L;Frontal_Mid_L; Frontal_Inf_Tri_L
50,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 3,Semantic Rule GREEN vs. SOFT,0.556,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC L,,,,atlas comparison,LPFC L,956,114,,,,0.556, Frontal_Inf_Oper_L;Frontal_Mid_L; Frontal_Inf_Tri_L
51,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 4,Decision Rule Just One vs Second,0.56,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,Bi-lateral LPFC,,,,atlas comparison,Bi-lateral LPFC,1909,228,,,,0.56, Frontal_Mid_R; Frontal_Inf_Tri_L; Frontal_Inf_Oper_L; Frontal_Inf_Oper_R; Frontal_Inf_Tri_R;Frontal_Mid_L
52,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 4,Decision Rule Same vs Not Second,0.56,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,Bi-lateral LPFC,,,,atlas comparison,Bi-lateral LPFC,1909,228,,,,0.56, Frontal_Mid_R; Frontal_Inf_Tri_L; Frontal_Inf_Oper_L; Frontal_Inf_Oper_R; Frontal_Inf_Tri_R;Frontal_Mid_L
53,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 4,Decision Rule Just One vs Second,0.56,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,Bi-lateral LPFC,,,,atlas comparison,Bi-lateral LPFC,1909,114,,,,0.56, Frontal_Mid_R; Frontal_Inf_Tri_L; Frontal_Inf_Oper_L; Frontal_Inf_Oper_R; Frontal_Inf_Tri_R;Frontal_Mid_L
54,7,2011,Rapid transfer of abstract Rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 4,Decision Rule Same vs.Just one,0.56,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC L,,,,atlas comparison,Left LPFC,956,228,,,,0.56, Frontal_Inf_Oper_L;Frontal_Mid_L; Frontal_Inf_Tri_L
55,7,2011,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 3,Semantic Rule LOUD vs. SOFT,0.565,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360.0,2.0,,,,Desikan,,,LPFC R,,,,atlas comparison,LPFC R,954,114,,,,0.565, Frontal_Inf_Tri_R;Frontal_Mid_R; Frontal_Inf_Oper_R
