PID,Title,Info.type,Source.in.paper,Task.variable.decoded,Accuracy.50,Accuracy.other,Num_classes,Significance,Roi.Search,Pattern.type,Classifier.type,Classifier.Fitted,Scanner,Resolution,Smoothing,Coregistration,Movement.Correction,Pattern.normalization.type,Num_subs,Talairach.Coordinates,MNI.Coordinates,Coordinate.Space,ROI.Atlas,BA,AAL,Desikan,OxHarvard,Destrieux,Unkown Atlas,Method.of.Assigning.Region,Region.name,Region.MD.1
88,Discrimination of Visual Categories Based on Behavioral Relevance in Widespread Regions of Frontoparietal Cortex,Perceptual,Figure 2,decoded categories of objects when they were behaviorally relevent (target vs not),0.51,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,None,19,,,,,,Cingulum_Mid_R; Cingulum_Mid_L,,,,,,,ACC
88,Discrimination of Visual Categories Based on Behavioral Relevance in Widespread Regions of Frontoparietal Cortex,Perceptual,Figure 2,decoded categories of objects when they were behaviorally relevent (target vs not),0.51,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,None,19,,,,,,Frontal_Inf_Orb_L; Frontal_Inf_Orb_R,,,,,,,Insula_R;Insula_L
88,Discrimination of Visual Categories Based on Behavioral Relevance in Widespread Regions of Frontoparietal Cortex,Perceptual,Figure 2,decoded categories of objects when they were behaviorally relevent (target vs not),0.52,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,None,19,,,,,,Frontal_Inf_Orb_L; Frontal_Inf_Orb_R,,,,,,,Insula_R;Insula_L
88,Discrimination of Visual Categories Based on Behavioral Relevance in Widespread Regions of Frontoparietal Cortex,Perceptual,Figure 2,decoded categories of objects when they were behaviorally relevent (target vs not),0.52,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,None,19,,,,,,Precentral_L; Precentral_R,,,,,,,PrecG_R;IFGop_R;IFGop_L;PrecG_L
88,Discrimination of Visual Categories Based on Behavioral Relevance in Widespread Regions of Frontoparietal Cortex,Perceptual,Figure 2,decoded categories of objects when they were behaviorally relevent (target vs not),0.53,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,None,19,,,,,,Frontal_Mid_L; Frontal_Mid_R,,,,,,,MFGorb_R;PrecG_R;IFGop_R;MFG_R;MFG_L;IFGop_L;MFGorb_L;PrecG_L
88,Discrimination of Visual Categories Based on Behavioral Relevance in Widespread Regions of Frontoparietal Cortex,Perceptual,Figure 2,decoded categories of objects when they were behaviorally relevent (target vs not),0.53,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,None,19,,,,,,Frontal_Mid_L; Frontal_Mid_R,,,,,,,MFGorb_R;PrecG_R;IFGop_R;MFG_R;MFG_L;IFGop_L;MFGorb_L;PrecG_L
88,Discrimination of Visual Categories Based on Behavioral Relevance in Widespread Regions of Frontoparietal Cortex,Perceptual,Figure 2,decoded categories of objects when they were behaviorally relevent (target vs not),0.53,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,None,19,,,,,,Frontal_Mid_L; Frontal_Mid_R,,,,,,,MFGorb_R;PrecG_R;IFGop_R;MFG_R;MFG_L;IFGop_L;MFGorb_L;PrecG_L
87,Characterizing the Associative Content of Brain Structures Involved in Habitual and Goal-Directed Actions in Humans: A Multivariate fMRI Study,Perceptual,Figure 3,decoded outcome (not reward amount though) at stimulus time,0.5,,2,0,Searchlight Peak,Single Trial Multi-Time Point,GNB,0,3T,,unsmooth,coregistered,Movement Correction,Normalized Temporally,19,,"3,53,-20",,,,,,,,,,,Outside_MD
87,Characterizing the Associative Content of Brain Structures Involved in Habitual and Goal-Directed Actions in Humans: A Multivariate fMRI Study,Perceptual,Figure 3,decoded outcome (not reward amount though) at stimulus time. counterbalanced across reward (high or low) so it was just outcome identity. Could be perceptual,0.51,,2,1,Searchlight Peak,Single Trial Multi-Time Point,GNB,0,3T,,unsmooth,coregistered,Movement Correction,Normalized Temporally,19,,"60,17,34",,,,,,,,,,,Outside_MD
87,Characterizing the Associative Content of Brain Structures Involved in Habitual and Goal-Directed Actions in Humans: A Multivariate fMRI Study,Perceptual,Figure 3,decoded outcome (not reward amount though) at action time,0.52,,2,1,Searchlight Peak,Single Trial Multi-Time Point,GNB,0,3T,,unsmooth,coregistered,Movement Correction,Normalized Temporally,19,,"3,53,-20",,,,,,,,,,,Outside_MD
87,Characterizing the Associative Content of Brain Structures Involved in Habitual and Goal-Directed Actions in Humans: A Multivariate fMRI Study,Perceptual,Figure 3,decoded outcome (not reward amount though) at action time,0.525,,2,1,Searchlight Peak,Single Trial Multi-Time Point,GNB,0,3T,,unsmooth,coregistered,Movement Correction,Normalized Temporally,19,,"60,17,34",,,,,,,,,,,Outside_MD
80,"Attention enhances multi-voxel representation of novel objects in frontal, parietal and visual cortices",Perceptual,Figure 2,"decoded the object that participants were viewing (one of three), during either high attentional load, low attentional load and whether attending to the object or not.  ",0.48,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,Native Space,Movement Correction,None,38,,"-35, 19, 3; 35, 19, 3",,,,,,,,,,,Insula_R;Insula_L
80,"Attention enhances multi-voxel representation of novel objects in frontal, parietal and visual cortices",Perceptual,Figure 2,"decoded the object that participants were viewing (one of three), during either high attentional load, low attentional load and whether attending to the object or not.  ",0.49,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,Native Space,Movement Correction,None,38,,"0, 23, 39",,,,,,,,,,,ACC
80,"Attention enhances multi-voxel representation of novel objects in frontal, parietal and visual cortices",Perceptual,Figure 2,"decoded the object that participants were viewing (one of three), during either high attentional load, low attentional load and whether attending to the object or not.  ",0.5,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,Native Space,Movement Correction,None,38,,"-38, 26, 24; 38, 26, 24",,,,,,,,,,,MFG_R;MFG_L
80,"Attention enhances multi-voxel representation of novel objects in frontal, parietal and visual cortices",Perceptual,Figure 2,"decoded the object that participants were viewing (one of three), during either high attentional load, low attentional load and whether attending to the object or not.  ",0.51,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,Native Space,Movement Correction,None,38,,"-38, 26, 24; 38, 26, 24",,,,,,,,,,,MFG_R;MFG_L
80,"Attention enhances multi-voxel representation of novel objects in frontal, parietal and visual cortices",Perceptual,Figure 2,"decoded the object that participants were viewing (one of three), during either high attentional load, low attentional load and whether attending to the object or not.  ",0.51,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,Native Space,Movement Correction,None,38,,"-35, 19, 3; 35, 19, 3",,,,,,,,,,,Insula_R;Insula_L
80,"Attention enhances multi-voxel representation of novel objects in frontal, parietal and visual cortices",Perceptual,Figure 2,"decoded the object that participants were viewing (one of three), during either high attentional load, low attentional load and whether attending to the object or not.  ",0.51,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,Native Space,Movement Correction,None,38,,"0, 23, 39",,,,,,,,,,,ACC
80,"Attention enhances multi-voxel representation of novel objects in frontal, parietal and visual cortices",Perceptual,Figure 2,"decoded the object that participants were viewing (one of three), during either high attentional load, low attentional load and whether attending to the object or not.  ",0.51,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,Native Space,Movement Correction,None,38,,"-38, 26, 24; 38, 26, 24",,,,,,,,,,,MFG_R;MFG_L
80,"Attention enhances multi-voxel representation of novel objects in frontal, parietal and visual cortices",Perceptual,Figure 2,"decoded the object that participants were viewing (one of three), during either high attentional load, low attentional load and whether attending to the object or not.  ",0.51,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,Native Space,Movement Correction,None,38,,"0, 23, 39",,,,,,,,,,,ACC
80,"Attention enhances multi-voxel representation of novel objects in frontal, parietal and visual cortices",Perceptual,Figure 2,"decoded the object that participants were viewing (one of three), during either high attentional load, low attentional load and whether attending to the object or not.  ",0.52,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,Native Space,Movement Correction,None,38,,"-35, 19, 3; 35, 19, 3",,,,,,,,,,,Insula_R;Insula_L
80,"Attention enhances multi-voxel representation of novel objects in frontal, parietal and visual cortices",Perceptual,Figure 2,"decoded the object that participants were viewing (one of three), during either high attentional load, low attentional load and whether attending to the object or not.  ",0.55,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,Native Space,Movement Correction,None,38,,"-35, 19, 3; 35, 19, 3",,,,,,,,,,,Insula_R;Insula_L
80,"Attention enhances multi-voxel representation of novel objects in frontal, parietal and visual cortices",Perceptual,Figure 2,"decoded the object that participants were viewing (one of three), during either high attentional load, low attentional load and whether attending to the object or not.  ",0.55,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,Native Space,Movement Correction,None,38,,"0, 23, 39",,,,,,,,,,,ACC
80,"Attention enhances multi-voxel representation of novel objects in frontal, parietal and visual cortices",Perceptual,Figure 2,"decoded the object that participants were viewing (one of three), during either high attentional load, low attentional load and whether attending to the object or not.  ",0.56,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,Native Space,Movement Correction,None,38,,"-38, 26, 24; 38, 26, 24",,,,,,,,,,,MFG_R;MFG_L
77,Neural representation of object-specific attentional priority.,Perceptual,Figure 4,which grating the participants were attending too,0.6,,2,1,Searchlight Peak,Single Trial Multi-Time Point,svm-lin,0,3T,,unsmooth,coregistered,Movement Correction,None,13,,,,,,,,,,FEF,,,Outside_MD
77,Neural representation of object-specific attentional priority.,Perceptual,Figure 4,which grating the participants were attending too,0.6,,2,1,Searchlight Peak,Single Trial Multi-Time Point,svm-lin,0,3T,,unsmooth,coregistered,Movement Correction,None,13,,,,,"44,6",,,,,,,,IFGop_R; PrecG_R
75,A Brain System for Auditory Working Memory,Perceptual,Figure 6,We used a linear support vector machine (SVM) classifier to determine whether patterns of activity from different brain areas could be decoded when participants held a low or high tone in WM.  inferior frontal gyrus distinguishedthe tone that was maintained in memory,0.49,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,unsmooth,coregistered,Movement Correction,None,17,,,,,"44,45",,,,,,,,Insula_R;IFGop_R
75,A Brain System for Auditory Working Memory,Perceptual,Figure 6,We used a linear support vector machine (SVM) classifier to determine whether patterns of activity from different brain areas could be decoded when participants held a low or high tone in WM.  inferior frontal gyrus distinguishedthe tone that was maintained in memory,0.54,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,unsmooth,coregistered,Movement Correction,None,17,,,,,"44,45",,,,,,,,Insula_R;IFGop_R
69,Judging semantic similarity: an event-related fMRI study with auditory word stimuli,Perceptual,Figure 3B,whether subjects heard and made similarity judgment about identical vs semantically similar words,0.54,,2,0,ROI,Multi-Trial Multi-Time Point,correlation,0,3T,3x3x3,unsmooth,coregistered,Movement Correction,Normalized Temporally,15,,,,unkown,,,,,,Medial prefrontal,name similarity,Medial prefrontal,Outside_MD
69,Judging semantic similarity: an event-related fMRI study with auditory word stimuli,Perceptual,Figure 3B,whether subjects heard and made similarity judgment about semantically dissimilar vs semantically similar words,0.55,,2,0,ROI,Multi-Trial Multi-Time Point,correlation,0,3T,3x3x3,unsmooth,coregistered,Movement Correction,Normalized Temporally,15,,,,unkown,,,,,,Medial prefrontal,name similarity,Medial prefrontal,Outside_MD
69,Judging semantic similarity: an event-related fMRI study with auditory word stimuli,Perceptual,Figure 3B/4,whether subjects heard and made similarity judgment about identical vs semantically dissimilar words,0.68,,2,1,ROI,Multi-Trial Multi-Time Point,correlation,0,3T,3x3x3,unsmooth,coregistered,Movement Correction,Normalized Temporally,15,,,,unkown,,,,,,Medial prefrontal,name similarity,Medial prefrontal,Outside_MD
69,Judging semantic similarity: an event-related fMRI study with auditory word stimuli,Perceptual,Figure 3B,whether subjects heard and made similarity judgment about identical vs semantically similar words,0.7,,2,1,ROI,Multi-Trial Multi-Time Point,correlation,0,3T,3x3x3,unsmooth,coregistered,Movement Correction,Normalized Temporally,15,,,,unkown,,,,,,Cingulate,name similarity,Cingulate,ACC
69,Judging semantic similarity: an event-related fMRI study with auditory word stimuli,Perceptual,Figure 3B,whether subjects heard and made similarity judgment about semantically dissimilar vs semantically similar words,0.71,,2,1,ROI,Multi-Trial Multi-Time Point,correlation,0,3T,3x3x3,unsmooth,coregistered,Movement Correction,Normalized Temporally,15,,,,unkown,,,,,,Dorsolateral PFC,name similarity,Dorsolateral PFC,MFG_L; MFG_R
69,Judging semantic similarity: an event-related fMRI study with auditory word stimuli,Perceptual,Figure 3B,whether subjects heard and made similarity judgment about identical vs semantically dissimilar words,0.72,,2,1,ROI,Multi-Trial Multi-Time Point,correlation,0,3T,3x3x3,unsmooth,coregistered,Movement Correction,Normalized Temporally,15,,,,unkown,,,,,,Dorsolateral PFC,name similarity,Dorsolateral PFC,MFG_L; MFG_R
69,Judging semantic similarity: an event-related fMRI study with auditory word stimuli,Perceptual,Figure 3B,whether subjects heard and made similarity judgment about identical vs semantically similar words,0.73,,2,1,ROI,Multi-Trial Multi-Time Point,correlation,0,3T,3x3x3,unsmooth,coregistered,Movement Correction,Normalized Temporally,15,,,,unkown,,,,,,Dorsolateral PFC,name similarity,Dorsolateral PFC,MFG_L; MFG_R
69,Judging semantic similarity: an event-related fMRI study with auditory word stimuli,Perceptual,Figure 3B,whether subjects heard and made similarity judgment about identical vs semantically dissimilar words,0.8,,2,1,ROI,Multi-Trial Multi-Time Point,correlation,0,3T,3x3x3,unsmooth,coregistered,Movement Correction,Normalized Temporally,15,,,,unkown,,,,,,Cingulate,name similarity,Cingulate,ACC
69,Judging semantic similarity: an event-related fMRI study with auditory word stimuli,Perceptual,Figure 3B,whether subjects heard and made similarity judgment about semantically dissimilar vs semantically similar words,0.85,,2,1,ROI,Multi-Trial Multi-Time Point,correlation,0,3T,3x3x3,unsmooth,coregistered,Movement Correction,Normalized Temporally,15,,,,unkown,,,,,,Cingulate,name similarity,Cingulate,ACC
66,Representation of Spatial Information in Key Areas of theDescending Pain Modulatory System,Perceptual,Table 1,whether subjects anticipated pain on arm or leg,0.74,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,1,3T,2x2x2,smoothed,Native Space,Movement Correction,Normalized Temporally,15,,,,unkown,,,,,,left DLPFC,name similarity,left DLPFC,MFG_L; MFG_R
66,Representation of Spatial Information in Key Areas of theDescending Pain Modulatory System,Perceptual,Table 1,whether subjects experience pain on arm or leg,0.79,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,1,3T,2x2x2,smoothed,Native Space,Movement Correction,Normalized Temporally,15,,,,unkown,,,,,,left DLPFC,name similarity,left DLPFC,MFG_L; MFG_R
66,Representation of Spatial Information in Key Areas of theDescending Pain Modulatory System,Perceptual,Table 1,whether subjects anticipated pain on arm or leg,0.79,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,1,3T,2x2x2,smoothed,Native Space,Movement Correction,Normalized Temporally,15,,,,unkown,,,,,,right DLPFC,name similarity,right DLPFC,MFG_R
66,Representation of Spatial Information in Key Areas of theDescending Pain Modulatory System,Perceptual,Table 1,whether subjects experience pain on arm or leg,0.83,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,1,3T,2x2x2,smoothed,Native Space,Movement Correction,Normalized Temporally,15,,,,unkown,,,,,,right DLPFC,name similarity,right DLPFC,MFG_R
66,Representation of Spatial Information in Key Areas of theDescending Pain Modulatory System,Perceptual,Table 1,whether subjects experience pain on arm or leg,0.88,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,1,3T,2x2x2,smoothed,Native Space,Movement Correction,Normalized Temporally,15,,,,unkown,,,,,,rACC,name similarity,rACC,ACC
66,Representation of Spatial Information in Key Areas of theDescending Pain Modulatory System,Perceptual,Table 1,whether subjects anticipated pain on arm or leg,0.9,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,1,3T,2x2x2,smoothed,Native Space,Movement Correction,Normalized Temporally,15,,,,unkown,,,,,,rACC,name similarity,rACC,ACC
64,Within- and cross-participant classifiers reveal different neural coding of information,Perceptual,Table 1,reward modality attractive face vs money,0.616,,2,1,Searchlight Peak,Single Trial Multi-Time Point,svm-lin,0,3T,3.75x3.75x4,unsmooth,coregistered,Movement Correction,Normalized Temporally,20,,"2,42,-4",MNI,,,,,,,,coordinate transfer,ventral medial pfc,Outside_MD
63,Spatial relations and spatial locations are dissociated within prefrontal and parietal cortex,Perceptual,Figure 6,remembered direction of item relation,0.57,,2,1,Searchlight Peak,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3mm,unsmooth,coregistered,Movement Correction,None,26,,,,unkown,,,,,,anterior regions of left lateral PFC,name similarity,anterior regions of left lateral PFC, MFGorb_R;MFGorb_L
63,Spatial relations and spatial locations are dissociated within prefrontal and parietal cortex,Perceptual,Figure 6,remembered items were far or close,0.57,,2,1,Searchlight Peak,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3mm,unsmooth,coregistered,Movement Correction,None,26,,,,unkown,,,,,,anterior regions of left lateral PFC,name similarity,anterior regions of left lateral PFC, MFGorb_R;MFGorb_L
63,Spatial relations and spatial locations are dissociated within prefrontal and parietal cortex,Perceptual,Figure 6,classification of relational B direction during delay,0.57,,2,1,Searchlight Peak,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3mm,unsmooth,coregistered,Movement Correction,None,26,,,,unkown,,,,,,anterior regions of left lateral PFC,name similarity,anterior regions of left lateral PFC, MFGorb_R;MFGorb_L
63,Spatial relations and spatial locations are dissociated within prefrontal and parietal cortex,Perceptual,Figure 6,classification of relational magnitude during delay,0.57,,2,1,Searchlight Peak,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3mm,unsmooth,coregistered,Movement Correction,None,26,,,,unkown,,,,,,anterior regions of left lateral PFC,name similarity,anterior regions of left lateral PFC, MFGorb_R;MFGorb_L
59,Investigation of melodic contour processing in the brain using multivariate pattern-based fMRI,Perceptual,Figure 4,whether subject listening to ascending or descending tones,0.525,,2,1,Searchlight Peak,Single Trial Multi-Time Point,svm-lin,0,3T,3 _ 3 _ 3 mm,unsmooth,coregistered,Movement Correction,Normalized Temporally,12,,"3,21,28",MNI,,,,,,,,coordinate transfer,ACC,Outside_MD
57,Dissociable Neural Mechanisms for Goal-Directed Versus Incidental Memory Reactivation,Perceptual,Figure 3 left,whether the subject was remembering reactivating a face or house image location goal relevant trials,0.51,,2,0,ROI,Single Trial Multi-Time Point,LogReg,0,3T,3.5mmx3.5mmx4mm,smoothed,coregistered,Movement Correction,Normalized Spatially,26,,,,AAL,,Frontal_Inf_Orb_L;Frontal_Inf_Orb_R; Frontal_Sup_Orb_L; Frontal_Mid_Orb_L; Frontal_Sup_Orb_R; Frontal_Mid_Orb_R,,,,,They used AAL,OFC,Insula_R;Insula_L
57,Dissociable Neural Mechanisms for Goal-Directed Versus Incidental Memory Reactivation,Perceptual,Figure 3 left,whether the subject was remembering reactivating a face or house image location goal relevant trials,0.53,,2,0,ROI,Single Trial Multi-Time Point,LogReg,0,3T,3.5mmx3.5mmx4mm,smoothed,coregistered,Movement Correction,Normalized Spatially,26,,,,AAL,,Frontal_Mid_L; Frontal_Mid_R,,,,,They used AAL,MFG,MFGorb_R;PrecG_R;IFGop_R;MFG_R;MFG_L;IFGop_L;MFGorb_L;PrecG_L
57,Dissociable Neural Mechanisms for Goal-Directed Versus Incidental Memory Reactivation,Perceptual,Figure 3 left,whether the subject was remembering reactivating a face or house image category goal relevant trials,0.55,,2,1,ROI,Single Trial Multi-Time Point,LogReg,0,3T,3.5mmx3.5mmx4mm,smoothed,coregistered,Movement Correction,Normalized Spatially,26,,,,AAL,,Frontal_Inf_Orb_L; Frontal_Inf_Tri_L; Frontal_Inf_Oper_L; Frontal_Inf_Orb_R; Frontal_Inf_Tri_R; Frontal_Inf_Oper_R,,,,,They used AAL,IFG,Insula_L;MFG_L;IFGop_L;Insula_L;MFGorb_R;Insula_R;IFGop_R;MFG_R;MFG_L;IFGop_L;Insula_L;MFGorb_L;Insula_R;Insula_R;IFGop_R
57,Dissociable Neural Mechanisms for Goal-Directed Versus Incidental Memory Reactivation,Perceptual,Figure 3 left,whether the subject was remembering reactivating a face or house image category goal relevant trials,0.55,,2,1,ROI,Single Trial Multi-Time Point,LogReg,0,3T,3.5mmx3.5mmx4mm,smoothed,coregistered,Movement Correction,Normalized Spatially,26,,,,AAL,,Frontal_Mid_L; Frontal_Mid_R,,,,,They used AAL,MFG,MFGorb_R;PrecG_R;IFGop_R;MFG_R;MFG_L;IFGop_L;MFGorb_L;PrecG_L
57,Dissociable Neural Mechanisms for Goal-Directed Versus Incidental Memory Reactivation,Perceptual,Figure 3 left,whether the subject was remembering reactivating a face or house image category goal relevant trials,0.55,,2,1,ROI,Single Trial Multi-Time Point,LogReg,0,3T,3.5mmx3.5mmx4mm,smoothed,coregistered,Movement Correction,Normalized Spatially,26,,,,AAL,,Frontal_Inf_Orb_L;Frontal_Inf_Orb_R; Frontal_Sup_Orb_L; Frontal_Mid_Orb_L; Frontal_Sup_Orb_R; Frontal_Mid_Orb_R,,,,,They used AAL,OFC,Insula_R;Insula_L
57,Dissociable Neural Mechanisms for Goal-Directed Versus Incidental Memory Reactivation,Perceptual,Figure 3 left,whether the subject was remembering reactivating a face or house image location goal relevant trials,0.55,,2,1,ROI,Single Trial Multi-Time Point,LogReg,0,3T,3.5mmx3.5mmx4mm,smoothed,coregistered,Movement Correction,Normalized Spatially,26,,,,AAL,,Frontal_Sup_L; Frontal_Sup_R,,,,,They used AAL,SFG,ACC;MFGorb_L;PrecG_L;ACC;PrecG_R;MFGorb_R
